"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"GERCBUS","197406","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197407","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197408","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197409","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197410","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197411","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197412","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197413","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197501","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197502","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197503","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197504","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197505","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197506","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197507","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197508","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197509","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197510","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197511","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197512","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197513","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197601","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197602","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197603","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197604","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197605","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197606","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197607","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197608","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197609","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197610","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197611","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197612","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197613","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197701","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197702","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197703","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197704","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197705","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197706","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197707","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197708","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197709","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197710","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197711","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197712","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197713","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197801","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197802","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197803","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197804","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197805","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197806","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197807","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197808","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197809","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197810","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197811","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197812","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197813","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197901","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197902","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197903","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197904","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197905","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197906","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197907","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197908","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197909","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197910","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197911","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197912","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","197913","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198001","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198002","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198003","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198004","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198005","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198006","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198007","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198008","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198009","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198010","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198011","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198012","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198013","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198101","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198102","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198103","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198104","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198105","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198106","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198107","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198108","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198109","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198110","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198111","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198112","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198113","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198201","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198202","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198203","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198204","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198205","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198206","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198207","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198208","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198209","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198210","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198211","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198212","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198213","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198301","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198302","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198303","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198304","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198305","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198306","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198307","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198308","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198309","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198310","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198311","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198312","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198313","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198401","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198402","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198403","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198404","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198405","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198406","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198407","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198408","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198409","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198410","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198411","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198412","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198413","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198501","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198502","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198503","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198504","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198505","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198506","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198507","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198508","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198509","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198510","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198511","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198512","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198513","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198601","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198602","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198603","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198604","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198605","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198606","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198607","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198608","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198609","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198610","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198611","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198612","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198613","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198701","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198702","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198703","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198704","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198705","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198706","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198707","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198708","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198709","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198710","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198711","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198712","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198713","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198801","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198802","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198803","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198804","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198805","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198806","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198807","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198808","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198809","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198810","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198811","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198812","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198813","Not Available","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198901","0.425","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198902","0.384","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198903","0.425","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198904","0.411","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198905","0.425","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198906","0.411","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198907","0.425","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198908","0.425","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198909","0.411","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198910","0.425","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198911","0.411","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198912","0.425","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","198913","5","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199001","0.467","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199002","0.422","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199003","0.467","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199004","0.452","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199005","0.467","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199006","0.452","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199007","0.467","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199008","0.467","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199009","0.452","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199010","0.467","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199011","0.452","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199012","0.467","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199013","5.5","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199101","0.501","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199102","0.453","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199103","0.501","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199104","0.485","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199105","0.501","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199106","0.485","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199107","0.501","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199108","0.501","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199109","0.485","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199110","0.501","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199111","0.485","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199112","0.501","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199113","5.9","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199201","0.542","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199202","0.507","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199203","0.542","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199204","0.525","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199205","0.542","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199206","0.525","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199207","0.542","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199208","0.542","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199209","0.525","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199210","0.542","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199211","0.525","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199212","0.542","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199213","6.4","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199301","0.578","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199302","0.522","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199303","0.578","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199304","0.559","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199305","0.578","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199306","0.559","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
"GERCBUS","199307","0.578","1","Geothermal Energy Consumed by the Residential Sector","Trillion Btu"
